Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20230627|A|511773|127|987522|B,Q,N
20230627|AA|774234|1116|1690784|B,Q,N
20230627|AAAU|126368|263|516249|Q,N
20230627|AAC|21220|0|328410|B,Q,N
20230627|AACG|1874|0|2873|Q
20230627|AACI|15250|0|15351|Q,N
20230627|AACIW|1|0|742|Q
20230627|AACT|1000|0|21782|Q
20230627|AAC/WS|2569|0|5464|Q,N
20230627|AADI|17735|0|30814|Q,N
20230627|AADR|7|0|335|Q
20230627|AAIC|8707|500|53019|B,Q
20230627|AAICpC|1|0|1096|Q
20230627|AAIN|30|0|30|Q
20230627|AAL|8960420|43289|16663831|B,Q,N
20230627|AAMC|365|0|1048|B,Q
20230627|AAME|829|5|6610|Q,N
20230627|AAMpA|1062|0|3272|Q,N
20230627|AAMpB|3148|500|11073|Q
20230627|AAN|45935|131|84722|B,Q,N
20230627|AAOI|386029|24019|628367|B,Q,N
20230627|AAON|22743|18|60481|B,Q,N
20230627|AAP|234201|1475|601086|B,Q,N
20230627|AAPB|3087|0|6225|Q,N
20230627|AAPD|63862|772|140285|B,Q,N
20230627|AAPL|8261720|73402|19995920|B,Q,N
20230627|AAPU|25391|1|40579|B,Q,N
20230627|AAT|30803|12|126642|B,Q,N
20230627|AAU|22871|0|121572|Q,N
20230627|AAXJ|21675|0|59742|Q
20230627|AB|27371|278|111616|Q,N
20230627|ABBV|550660|7896|2878621|B,Q,N
20230627|ABC|164592|403|295810|B,Q,N
20230627|ABCB|40201|708|72691|B,Q,N
20230627|ABCL|711328|3191|1537152|B,Q,N
20230627|ABCM|494384|37|1959749|B,Q,N
20230627|ABEO|32819|75|60868|Q,N
20230627|ABEQ|2054|0|2746|Q,N
20230627|ABEV|5290109|345713|7467817|B,Q,N
20230627|ABG|24143|0|37768|B,Q,N
20230627|ABIO|8377|0|22105|Q,N
20230627|ABM|17722|0|58967|B,Q,N
20230627|ABNB|727562|2641|1434160|B,Q,N
20230627|ABOS|16354|40|35395|B,Q,N
20230627|ABR|818276|1099|1110237|B,Q,N
20230627|ABRpD|1662|0|4342|Q
20230627|ABRpE|1112|0|1844|Q
20230627|ABRpF|3859|0|15315|Q,N
20230627|ABSI|191028|9502|531010|Q,N
20230627|ABST|216499|69|428381|Q,N
20230627|ABT|416008|4559|1268230|B,Q,N
20230627|ABUS|73435|0|123401|Q,N
20230627|ABVC|6611|270|22097|Q,N
20230627|AC|2009|0|3247|Q
20230627|ACA|49190|200|252795|B,Q,N
20230627|ACAC|648|0|3648|Q,N
20230627|ACACU|400|100|900|Q
20230627|ACAD|90730|217|186940|B,Q,N
20230627|ACAH|1|0|3|Q
20230627|ACAHW|550|50|550|Q,N
20230627|ACAQ|9|0|112|Q
20230627|ACB|510145|42|1345960|B,Q,N
20230627|ACCD|54642|0|183959|B,Q,N
20230627|ACCO|17710|0|81876|Q,N
20230627|ACDC|49211|763|178549|B,Q,N
20230627|ACEL|20025|67|40415|Q,N
20230627|ACER|16767|7358|63986|Q,N
20230627|ACES|3387|0|15499|Q,N
20230627|ACET|2074490|96742|4490554|B,Q,N
20230627|ACGL|232427|953|453677|B,Q,N
20230627|ACGLN|2759|0|6446|Q
20230627|ACGLO|2353|300|4337|Q
20230627|ACGN|2605|0|6674|Q,N
20230627|ACHC|233087|131|353335|B,Q,N
20230627|ACHL|7948|2007|20576|Q,N
20230627|ACHR|690639|101651|977611|B,Q,N
20230627|ACHR/WS|2032|0|2647|Q,N
20230627|ACHV|8948|253|21375|Q,N
20230627|ACI|213148|929|527119|B,Q,N
20230627|ACIO|3575|0|7790|Q
20230627|ACIU|18232546|174822|32698550|B,Q,N
20230627|ACIW|29962|0|78082|Q,N
20230627|ACLS|104133|161|193531|B,Q,N
20230627|ACLX|139018|25|225236|B,Q,N
20230627|ACM|89199|0|328152|Q,N
20230627|ACMR|107986|84|212895|B,Q,N
20230627|ACN|247526|2329|575306|B,Q,N
20230627|ACNB|1361|0|3184|Q,N
20230627|ACON|5226|1758|42586|Q,N
20230627|ACOR|2321|86|3470|Q,N
20230627|ACP|65014|5830|107360|B,Q,N
20230627|ACPpA|325|0|726|Q
20230627|ACR|168|0|636|Q,N
20230627|ACRE|119333|101|198550|B,Q,N
20230627|ACRO|11653|0|30168|Q
20230627|ACRO/U|100|0|100|Q
20230627|ACRpC|2189|0|2533|Q,N
20230627|ACRpD|216|0|1895|Q,N
20230627|ACRS|63225|0|108359|Q,N
20230627|ACRV|1381|0|3931|Q,N
20230627|ACRX|9547|0|24613|B,Q,N
20230627|ACSI|126|0|132|Q
20230627|ACST|23089|713|76900|Q,N
20230627|ACT|15235|0|30090|Q,N
20230627|ACTG|52805|0|63983|B,Q,N
20230627|ACTV|2433|0|13572|Q,N
20230627|ACU|1028|0|2381|Q
20230627|ACV|7080|0|14715|Q,N
20230627|ACVA|80466|0|400843|Q,N
20230627|ACVF|1352|0|1594|Q,N
20230627|ACWI|185528|17|1103922|B,Q,N
20230627|ACWV|72102|855|477221|Q,N
20230627|ACWX|72789|0|187884|B,Q,N
20230627|ACXP|5577|1559|28011|Q,N
20230627|ADAG|15817|983|43262|Q,N
20230627|ADAP|270843|10432|541621|Q,N
20230627|ADBE|439502|1026|841871|B,Q,N
20230627|ADC|117068|174|201244|B,Q,N
20230627|ADCpA|11|0|1703|Q,N
20230627|ADCT|55870|0|160125|Q,N
20230627|ADD|6358|0|13404|Q,N
20230627|ADEA|45770|6|86359|Q,N
20230627|ADER|1|0|20|Q
20230627|ADERW|1400|0|1400|N
20230627|ADES|23318|1965|52862|Q,N
20230627|ADEX|3643|0|4208|Q,N
20230627|ADEX/U|1|0|1|Q
20230627|ADEX/WS|1000|0|5100|Q
20230627|ADFI|14986|0|16370|Q
20230627|ADI|507200|1434|908000|B,Q,N
20230627|ADIL|54200|0|114776|Q,N
20230627|ADM|425904|1359|617644|B,Q,N
20230627|ADMA|282452|5500|498347|Q,N
20230627|ADME|1850|0|3568|Q
20230627|ADMP|33767|1455|67750|B,Q,N
20230627|ADN|254517|299|703100|Q,N
20230627|ADNT|47433|832|108626|B,Q,N
20230627|ADOCW|100|0|200|Q
20230627|ADP|74742|100|352138|B,Q,N
20230627|ADPT|105980|0|195462|B,Q,N
20230627|ADPV|7799|0|7961|Q
20230627|ADRT|5473|0|31147|Q,N
20230627|ADSE|12336|0|13835|Q
20230627|ADSK|235783|237|567621|B,Q,N
20230627|ADT|175598|0|423571|B,Q,N
20230627|ADTH|22881|209|96294|Q,N
20230627|ADTN|140573|23|210964|B,Q,N
20230627|ADTX|67256|45|132187|Q,N
20230627|ADUS|15326|0|28271|B,Q,N
20230627|ADV|45556|4|136005|Q,N
20230627|ADVM|94675|2876|282902|Q,N
20230627|ADX|9389|0|39404|Q,N
20230627|ADXN|1960|0|2145|Q,N
20230627|AE|2412|0|4371|Q,N
20230627|AEE|87324|403|176763|B,Q,N
20230627|AEF|1039|0|26076|Q
